virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/USA/WA-S863/2020	EPI_ISL_463353	2020-04-22	Seattle Flu Study	Bedford	USA
hCoV-19/England/ALDP-A2D67A/2020	EPI_ISL_586581	2020-10-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-95030F/2020	EPI_ISL_555294	2020-06-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Italy/BAS-UniMI-3725/2020	EPI_ISL_477197	2020-04-03	Beaconlab (Bioinformatics	Chiara	Italy
hCoV-19/USA/OR-QDX-1274/2020	EPI_ISL_572033	2020-03-16	Quest Diagnostics	Kagan	USA
hCoV-19/USA/SC-DHEC-0883/2020	EPI_ISL_538434	2020-06-26	Microbiology Division	Flores	USA
hCoV-19/England/MILK-993CBA/2020	EPI_ISL_552348	2020-08-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/NSW142/2020	EPI_ISL_427749	2020-03-24	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Australia/NSW586/2020	EPI_ISL_478698	2020-03-16	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/England/MILK-9A9282/2020	EPI_ISL_551188	2020-09-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MN-MDH-1362/2020	EPI_ISL_507951	2020-04-22	Minnesota Department of Health	Garfin	USA
hCoV-19/England/ALDP-92CFAE/2020	EPI_ISL_551408	2020-06-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9F340B/2020	EPI_ISL_588658	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-94C5B5/2020	EPI_ISL_555923	2020-06-15	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Estonia/ChVir4301/2020	EPI_ISL_457737	2020-03-00	Charite Universitatsmedizin Berlin	Muehlemann	Estonia
hCoV-19/Austria/CeMM0150/2020	EPI_ISL_437998	2020-03-03	Bergthaler laboratory	Bergthaler	Austria
hCoV-19/USA/WI-GMF-08766/2020	EPI_ISL_489936	2020-07-01	Kabara Cancer Research Institute	Kenny	USA
hCoV-19/Scotland/EDB5436/2020	EPI_ISL_473818	2020-04-11	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/WA-UW-2280/2020	EPI_ISL_477708	2020-03-30	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/CA-ALSR-1667/2020	EPI_ISL_494727	2020-03-24	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Portugal/PT0818/2020	EPI_ISL_511077	2020-03-20	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/Switzerland/BE-ETHZ-190074/2020	EPI_ISL_500932	2020-07-04	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/ALDP-94DDAD/2020	EPI_ISL_555615	2020-06-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/OR-OHSU-1059/2020	EPI_ISL_525960	2020-07-08	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/Beijing/BJ53/2020	EPI_ISL_430734	2020-01-24	Chinese PLA Institute for Disease Control and Prevention	Li	China
hCoV-19/USA/WI-UW-779/2020	EPI_ISL_495483	2020-07-03	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/Australia/VIC194/2020	EPI_ISL_419890	2020-03-19	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/Russia/OMS-ORINFI-57S/2020	EPI_ISL_569840	2020-05-14	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/Portugal/PT0313/2020	EPI_ISL_454029	2020-03-15	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/USA/CA-ALSR-1597/2020	EPI_ISL_494683	2020-04-22	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/CA-ALSR-1214/2020	EPI_ISL_494442	2020-04-24	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/England/NORT-294A2F/2020	EPI_ISL_488550	2020-03-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Switzerland/BL-ETHZ-190036/2020	EPI_ISL_500899	2020-07-08	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/USA/NY-NYUMC483/2020	EPI_ISL_435548	2020-04-24	Departments of Pathology and Medicine	Maurano	USA
hCoV-19/England/MILK-95761E/2020	EPI_ISL_554097	2020-06-12	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WI-UW-1374/2020	EPI_ISL_536745	2020-09-04	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/England/20149009404/2020	EPI_ISL_466146	2020-03-31	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Australia/VIC8738/2020	EPI_ISL_565165	2020-07-27	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/England/ALDP-94D37E/2020	EPI_ISL_556315	2020-06-15	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Austria/CeMM0381/2020	EPI_ISL_475824	2020-04-01	Bergthaler laboratory	Bergthaler	Austria
hCoV-19/England/QEUH-76BE6C/2020	EPI_ISL_533115	2020-07-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/BRIS-127B2F/2020	EPI_ISL_469802	2020-04-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-4425/2020	EPI_ISL_543609	2020-06-17	Houston Methodist Hospital	Long	USA
hCoV-19/England/ALDP-A2D795/2020	EPI_ISL_586934	2020-10-06	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/NSW241/2020	EPI_ISL_451507	2020-03-25	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Australia/VIC4447/2020	EPI_ISL_519743	2020-07-16	MDU-PHL	Schultz	Australia
hCoV-19/England/MILK-9A8F40/2020	EPI_ISL_551234	2020-09-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/LIVE-AABF8/2020	EPI_ISL_540604	2020-08-01	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/Spain/AN-ISCIII-201649/2020	EPI_ISL_455324	2020-03-03	Instituto de Salud Carlos III	Caballero	Spain
hCoV-19/England/BRIS-12CA96/2020	EPI_ISL_481884	2020-04-18	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-9C30C4/2020	EPI_ISL_566871	2020-09-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Switzerland/BE-ETHZ-250119/2020	EPI_ISL_535627	2020-08-14	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/Wales/PHWC-160D8E/2020	EPI_ISL_473048	2020-04-08	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/England/NORW-E9207/2020	EPI_ISL_461827	2020-04-26	COVID-19 Genomics UK (COG-UK) Consortium	Alikhan	United Kingdom
hCoV-19/Wales/MILK-992CCA/2020	EPI_ISL_552003	2020-08-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Slovakia/UKBA-321/2020	EPI_ISL_583488	2020-09-16	Faculty of Natural Sciences	Vinar	Slovakia
hCoV-19/England/CAMC-9EC10E/2020	EPI_ISL_580582	2020-09-23	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Germany/BY-MVP-0193/2020	EPI_ISL_466883	2020-04-15	Laboratory for Functional Genome Analysis	Graf	Germany
hCoV-19/USA/WA-S1840/2020	EPI_ISL_496266	2020-05-27	Seattle Flu Study	Lee	USA
hCoV-19/England/20142082704/2020	EPI_ISL_423463	2020-03-30	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Scotland/QEUH-9AD066/2020	EPI_ISL_560017	2020-09-05	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/Gambia/GC19-2473/2020	EPI_ISL_561110	2020-07-21	MRCG at LSHTM Genomics lab	Sesay	Gambia
hCoV-19/USA/UN-CDC-7498/2020	EPI_ISL_514078	2020-04-22	Pathogen Discovery	Queen	USA
hCoV-19/USA/CA-CZB-1347/2020	EPI_ISL_468363	2020-04-09	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/Netherlands/NA_663/2020	EPI_ISL_461098	2020-00-00	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/LIVE-A6576/2020	EPI_ISL_499721	2020-03-18	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/Romania/284468/2020	EPI_ISL_455479	2020-05-14	Cantacuzino Institute	Lazar	Romania
hCoV-19/Australia/VIC7614/2020	EPI_ISL_564530	2020-07-21	MDU-PHL	Schultz	Australia
hCoV-19/Canada/ON-OICR-SLB2827/2020	EPI_ISL_538353	2020-04-02	Ontario Institute for Cancer Research	de Borja	Canada
hCoV-19/Australia/VIC4240/2020	EPI_ISL_519568	2020-07-16	MDU-PHL	Schultz	Australia
hCoV-19/Singapore/958/2020	EPI_ISL_538492	2020-04-08	Department of Laboratory Medicine	Chen	Singapore
hCoV-19/USA/OR-OHSU-1957/2020	EPI_ISL_526077	2020-07-30	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/Germany/BY-MVP-0011/2020	EPI_ISL_437212	2020-03-22	Laboratory for Functional Genome Analysis	Graf	Germany
hCoV-19/Australia/NSW753/2020	EPI_ISL_513395	2020-07-31	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Wales/PHWC-27D2A/2020	EPI_ISL_432236	2020-04-01	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/WI-UW-195/2020	EPI_ISL_428291	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Moreno	USA
hCoV-19/Russia/SPE-RII-17942V/2020	EPI_ISL_524016	2020-05-27	WHO National Influenza Centre Russian Federation	Komissarov	Russia
hCoV-19/England/NOTT-1128D5/2020	EPI_ISL_493558	2020-04-19	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/England/SHEF-C8DA3/2020	EPI_ISL_573717	2020-09-23	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Japan/DP0078/2020	EPI_ISL_416572	2020-02-15	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/USA/WA-S831/2020	EPI_ISL_450001	2020-04-16	Seattle Flu Study	Bedford	USA
hCoV-19/England/QEUH-9FA370/2020	EPI_ISL_588217	2020-09-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Spain/NC-IBV-001374/2020	EPI_ISL_452527	2020-03-13	SeqCOVID-SPAIN consortium/IBV(CSIC)	Comas	Spain
hCoV-19/England/QEUH-961022/2020	EPI_ISL_532106	2020-08-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-964371/2020	EPI_ISL_536841	2020-08-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-CZB-1360/2020	EPI_ISL_468372	2020-04-12	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/USA/NY-SURV0175/2020	EPI_ISL_436056	2020-03-09	Pathogen Discovery	Queen	USA
hCoV-19/England/BRIS-133461/2020	EPI_ISL_495103	2020-05-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/MILK-994E1D/2020	EPI_ISL_552442	2020-08-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/BRIS-1303B2/2020	EPI_ISL_492679	2020-04-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/OR-OHSU-0484/2020	EPI_ISL_525823	2020-06-15	Ginkgo Bioworks Clinical Laboratory	O'Roak	USA
hCoV-19/Wales/ALDP-9CBBAD/2020	EPI_ISL_589802	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC8514/2020	EPI_ISL_565065	2020-07-28	MDU-PHL	Schultz	Australia
hCoV-19/Germany/BY-ChVir-929-2/2020	EPI_ISL_450198	2020-01-28	Department of Virology	B\u00f6hmer	Germany
hCoV-19/USA/LA-EVTL478/2020	EPI_ISL_578882	2020-06-23	Microbial Genome Sequencing Center	Kamil	USA
hCoV-19/USA/WA-S1788/2020	EPI_ISL_496214	2020-06-02	Seattle Flu Study	Lee	USA
hCoV-19/USA/CA-UCSF-UC43/2020	EPI_ISL_450235	2020-03-14	Chiu Laboratory	Chiu	USA
hCoV-19/Switzerland/BL-ETHZ-280189/2020	EPI_ISL_560465	2020-09-10	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/USA/WA-S1005/2020	EPI_ISL_463495	2020-04-29	Seattle Flu Study	Bedford	USA
hCoV-19/England/BIRM-607DC/2020	EPI_ISL_483889	2020-06-06	COVID-19 Genomics UK (COG-UK) Consortium	Loman	United Kingdom
hCoV-19/Wales/PHWC-1643B5/2020	EPI_ISL_474169	2020-04-25	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Italy/ABR-IZSGC-TE5780/2020	EPI_ISL_420567	2020-03-21	Istituto Zooprofilattico Sperimentale dell'Abruzzo e Molise \G.Caporale\	Lorusso	Italy
hCoV-19/Portugal/PT0714/2020	EPI_ISL_510973	2020-03-24	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/USA/NV-NSPHL-A0157/2020	EPI_ISL_515421	2020-05-14	Nevada State Public Health Laboratory	Sevinsky	USA
hCoV-19/England/QEUH-9B45E5/2020	EPI_ISL_590326	2020-09-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Malaysia/9136/2020	EPI_ISL_501225	2020-03-19	Department of Medical Microbiology	Chan	Malaysia
hCoV-19/USA/MA-MGH-00501/2020	EPI_ISL_460258	2020-03-27	Infectious Disease Program	Lemieux	USA
hCoV-19/USA/VA-DCLS-1521/2020	EPI_ISL_581518	2020-08-08	Virginia DCLS	St. Jacques	USA
hCoV-19/Australia/VIC313/2020	EPI_ISL_420004	2020-03-24	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/Wales/PHWC-2AC84/2020	EPI_ISL_445686	2020-04-06	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/MN-MDH-506/2020	EPI_ISL_437377	2020-04-12	Minnesota Department of Health	Garfin	USA
hCoV-19/USA/CA-QDX-92/2020	EPI_ISL_468567	2020-03-13	Quest Diagnostics	Kagan	USA
hCoV-19/France/ARA-11943/2020	EPI_ISL_419170	2020-03-21	CNR Virus des Infections Respiratoires - France SUD	Josset	France
hCoV-19/England/MILK-99CFD6/2020	EPI_ISL_549812	2020-08-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Netherlands/Gelderland_130/2020	EPI_ISL_460891	2020-00-00	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/MILK-9E1F87/2020	EPI_ISL_581244	2020-09-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/SaudiArabia/KAUST-MADINAH511/2020	EPI_ISL_513162	2020-04-12	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Mohamed Ghazzali	Saudi Arabia
hCoV-19/England/20192003004/2020	EPI_ISL_465594	2020-05-04	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/India/MH-NCCS-NR2255/2020	EPI_ISL_497873	2020-05-21	National Centre For Cell Science	Paul	India
hCoV-19/USA/CA-CZB-1536/2020	EPI_ISL_468481	2020-04-27	Chan-Zuckerberg Biohub	Hao	USA
hCoV-19/India/GJ-GBRC205a/2020	EPI_ISL_475030	2020-06-11	Gujarat Biotechnology Research Centre	Joshi	India
hCoV-19/England/ALDP-9C4D26/2020	EPI_ISL_567666	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC2856/2020	EPI_ISL_521687	2020-07-02	MDU-PHL	Schultz	Australia
hCoV-19/England/QEUH-9B6F7C/2020	EPI_ISL_590653	2020-09-07	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NV-NSPHL-A0071/2020	EPI_ISL_515351	2020-04-07	Nevada State Public Health Laboratory	Sevinsky	USA
hCoV-19/USA/CA-ALSR-1320/2020	EPI_ISL_494492	2020-04-29	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/CA-QDX-946/2020	EPI_ISL_571590	2020-03-24	Quest Diagnostics	Kagan	USA
hCoV-19/Netherlands/NA_365/2020	EPI_ISL_455169	2020-04-08	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/Australia/VIC13153/2020	EPI_ISL_563626	2020-07-27	MDU-PHL	Schultz	Australia
hCoV-19/England/QEUH-9B7A5C/2020	EPI_ISL_590506	2020-09-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-QDX-808/2020	EPI_ISL_571501	2020-03-23	Quest Diagnostics	Kagan	USA
hCoV-19/Netherlands/NA_181/2020	EPI_ISL_422716	2020-03-22	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/USA/LA-SR0268/2020	EPI_ISL_445123	2020-04-01	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/USA/UN-UW-2849/2020	EPI_ISL_485958	2020-04-15	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/CA-ALSR-1461/2020	EPI_ISL_494617	2020-03-23	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/Switzerland/BL-ETHZ-270140/2020	EPI_ISL_541451	2020-08-28	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/Australia/VIC245/2020	EPI_ISL_419940	2020-03-21	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory	Schultz	Australia
hCoV-19/Australia/VIC8420/2020	EPI_ISL_565000	2020-07-28	MDU-PHL	Schultz	Australia
hCoV-19/England/NORT-2837A4/2020	EPI_ISL_488459	2020-03-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-SR0184/2020	EPI_ISL_437594	2020-03-23	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/England/20168006104/2020	EPI_ISL_466601	2020-04-16	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Egypt/CUNCI-HGC3I012/2020	EPI_ISL_479693	2020-06-02	Egyptian National Cancer Institute (ENCI)	Zekri	Egypt
hCoV-19/Panama/328941/2020	EPI_ISL_496617	2020-02-27	Gorgas Memorial Laboratory of Health Studies	Martinez	Panama
hCoV-19/Austria/CeMM0917/2020	EPI_ISL_583769	2020-03-16	Bergthaler laboratory	Bergthaler	Austria
hCoV-19/Scotland/CVR3699/2020	EPI_ISL_478095	2020-05-25	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Peru/LIM-INS-054/2020	EPI_ISL_516722	2020-04-11	Laboratorio de Referencia Nacional de Biotecnolog\u00eda y Biolog\u00eda Molecular. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Padilla Rojas	Peru
hCoV-19/England/ALDP-94E0A3/2020	EPI_ISL_555323	2020-06-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-961101/2020	EPI_ISL_532082	2020-08-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/OR-OHSU-1273/2020	EPI_ISL_509176	2020-07-14	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/England/ALDP-9CC007/2020	EPI_ISL_575460	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Norway/3841/2020	EPI_ISL_591008	2020-09-28	Norwegian Institute of Public Health	Vollan	Norway
hCoV-19/USA/VA-DCLS-0942/2020	EPI_ISL_522803	2020-05-21	Virginia DCLS	St. Jacques	USA
hCoV-19/USA/WI-UW-838/2020	EPI_ISL_509845	2020-05-04	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/USA/UN-CDC-7419/2020	EPI_ISL_514065	2020-04-20	Pathogen Discovery	Queen	USA
hCoV-19/Wales/PHWC-16E3D9/2020	EPI_ISL_585711	2020-09-30	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/SaudiArabia/KAUST-MADINAH452/2020	EPI_ISL_513161	2020-04-21	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Mohamed Ghazzali	Saudi Arabia
hCoV-19/USA/TX-HMH-612/2020	EPI_ISL_547255	2020-04-10	Houston Methodist Hospital	Long	USA
hCoV-19/USA/PA-MGEL80/2020	EPI_ISL_454365	2020-03-30	Microbial Genome Sequencing Center	Mustapha	USA
hCoV-19/Ecuador/USFQ-177/2020	EPI_ISL_525431	2020-08-12	Institute of Microbiology	Cardenas	Ecuador
hCoV-19/Denmark/ALAB-SSI364/2020	EPI_ISL_429472	2020-03-23	Albertsen lab	Kirkegaard	Denmark
hCoV-19/Iceland/345/2020	EPI_ISL_424369	2020-03-00	deCODE genetics	J\u00f3nsson	Iceland
hCoV-19/England/SHEF-CDC29/2020	EPI_ISL_457661	2020-04-17	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/USA/MA-MGH-00071/2020	EPI_ISL_460446	2020-03-23	Infectious Disease Program	Lemieux	USA
hCoV-19/Scotland/EDB1631/2020	EPI_ISL_433095	2020-04-14	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/Wales/PHWC-2772C/2020	EPI_ISL_432287	2020-04-01	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/VA-DCLS-0135/2020	EPI_ISL_437774	2020-04-15	Virginia DCLS	St. Jacques	USA
hCoV-19/England/QEUH-9B4433/2020	EPI_ISL_559892	2020-09-04	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/PORT-2D0D79/2020	EPI_ISL_475280	2020-03-31	COVID-19 Genomics UK (COG-UK) Consortium	Robson	United Kingdom
hCoV-19/England/CAMB-1B2C71/2020	EPI_ISL_456716	2020-05-19	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/England/MILK-9A85D5/2020	EPI_ISL_550007	2020-09-02	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/EDB3513/2020	EPI_ISL_487814	2020-04-13	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-1537/2020	EPI_ISL_542779	2020-04-16	Houston Methodist Hospital	Long	USA
hCoV-19/Netherlands/OV-EMC-46/2020	EPI_ISL_523430	2020-04-29	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/ALDP-94C658/2020	EPI_ISL_556023	2020-06-14	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Wales/QEUH-9E490E/2020	EPI_ISL_579849	2020-09-22	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC7508/2020	EPI_ISL_564456	2020-00-00	MDU-PHL	Schultz	Australia
hCoV-19/Wales/PHWC-2B3BB/2020	EPI_ISL_445702	2020-04-11	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/Norway/3766/2020	EPI_ISL_591017	2020-08-29	Norwegian Institute of Public Health	Vollan	Norway
hCoV-19/Oman/RESP-20-B-6588/2020	EPI_ISL_525429	2020-06-05	Biotechnology & OMICs Laboratory	Al Mahruqi	Oman
hCoV-19/Australia/VIC7654/2020	EPI_ISL_564554	2020-08-06	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Bucuresti/ChVir7244/2020	EPI_ISL_467778	2020-04-27	Charite Universitatsmedizin Berlin	Muehlemann	Romania
hCoV-19/England/MILK-9918F4/2020	EPI_ISL_577002	2020-08-26	COVID-19 Genomics UK (COG-UK) Consortium	Bashton	United Kingdom
hCoV-19/Ireland/CO-NVRL-73IRL22642/2020	EPI_ISL_578252	2020-09-04	National Virus Reference Laboratory	Gonzalez	Ireland
hCoV-19/USA/MI-QDX-489/2020	EPI_ISL_571223	2020-03-23	Quest Diagnostics	Kagan	USA
hCoV-19/USA/MA-MGH-00657/2020	EPI_ISL_460256	2020-04-03	Infectious Disease Program	Lemieux	USA
hCoV-19/England/MILK-9E2FC2/2020	EPI_ISL_581248	2020-09-21	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/NORT-294E8D/2020	EPI_ISL_488582	2020-03-28	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/CVR353/2020	EPI_ISL_439062	2020-03-22	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/Australia/VIC12230/2020	EPI_ISL_591935	2020-07-21	MDU-PHL	Schultz	Australia
hCoV-19/USA/KY-9E09/2020	EPI_ISL_468065	2020-03-18	Computer Science and Engineering	Submitter	USA
hCoV-19/Australia/VIC14068/2020	EPI_ISL_563953	2020-08-24	MDU-PHL	Schultz	Australia
hCoV-19/Wales/PHW1/2020	EPI_ISL_413555	2020-02-27	Public Health Wales Microbiology Cardiff	Moore	United Kingdom
hCoV-19/USA/VA-DCLS-0651/2020	EPI_ISL_495323	2020-04-11	Virginia DCLS	St. Jacques	USA
